Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Nygaard K., Graversgaard M., Dalgaard T., Jacobsen B.H., Schaper S.","57216490619;56404699500;54790587100;8606891300;6603965482;","The role of stakeholder engagement in developing new technologies and innovation for nitrogen reduction in waters: A longitudinal study",2021,"Water (Switzerland)","13","22","3313","","",,2,"10.3390/w13223313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119995499&doi=10.3390%2fw13223313&partnerID=40&md5=cd6e968ccad7bd141fed94e56bdeb44a","Better nitrogen management, technologies, and regulation are required to reduce nitrogen losses in the aquatic environment. New innovative technologies can support farmers in a more targeted planning of fertilizer application and crop management at the field level to increase the effect of measures when reducing nitrogen losses. However, if farmers do not perceive the need for such a concept, the demand (market pull) will be minimal, making the implementation of such a technology difficult. The lack of this market pull could, however, be counterbalanced by a market push from research or requirements from public sector stakeholders (regulators). Within this domain, the main objective of this paper was to study technological change over time and identify and understand the crucial stakeholder involvement using the Functions of Innovation Systems Approach. This article shows how stakeholders’ perceptions and participation evolved over a 10-year period. It examines the interplay between technology readiness and the perceived readiness and acceptance by affected stakeholders. We demonstrate how stakeholder engagement was crucial to ensure the development of the technologies by creating marketable options for their future implementation. A key dynamic that emerged in this process was the transition from a research push to a regulator pull. We demonstrate the fact that without the regulatory requirement linked to changes towards more targeting of measures, the technology would not, on its own, be a business case, although it would provide new knowledge, thus representing a gain for society. The specific findings can be used in countries where new technologies need to be developed, and where a link to the regulation can ensure the active use of the new technology and, therefore, make their implementation worthwhile. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119995499
"Yao G., Miao J.","57221996067;57205146997;","Service value co-creation in digital platform business: A case of xianyu idle trading platform",2021,"Sustainability (Switzerland)","13","20","11296","","",,2,"10.3390/su132011296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117208259&doi=10.3390%2fsu132011296&partnerID=40&md5=b43378d72ffe005cdb81d19ad96f60c6","With the emerging digital platform economy, consumption activities are increasingly integrated in the production process of service platforms, and the development of e-commerce platforms shows a new realm for solving sustainability issues such as resource wasting and urban pollution. This paper investigates the service value co-creation processes in the digital platform context and recognizes the service value output categories under different stages among platform business, platform buyers, and sellers. Using an emergent and representative digital platform, the Xianyu idle trading platform, and adopting an embedded case study design and social media analysis approach, this paper illustrates the service value co-creation practices and value categories among users in each stage of purchase. We find that platform business not only facilitates value co-creations but is also an active participant. This study contributes to both value co-creation and platform business literature, and it sheds light on achieving sustainability in the platform economy and moving toward an environmentally friendly society. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117208259
"Lema R., Pietrobelli C., Rabellotti R., Vezzani A.","55443085200;6603426104;6603139378;36505223000;","Deepening or delinking? Innovative capacity and global value chain participation in the IT industry",2021,"Industrial and Corporate Change","30","4",,"1065","1083",,2,"10.1093/icc/dtab035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121117466&doi=10.1093%2ficc%2fdtab035&partnerID=40&md5=e5699d8d59a5e8c5d14bb3d7e05dcf56","Innovation trajectories in global value chains (GVCs) can take differentiated pathways. In this article, we address the question: do stylized trajectories emerge from the analysis of countries' relative innovative capacity (IC) and GVC participation? We draw explorative insights from a cluster analysis of 45 countries on the two subsectors of the information technology industry: hardware and software. Our analysis uncovers remarkable differences between hardware and software and across countries. We identify different trajectories and discuss the sectoral specificities that contribute explaining their existence. The association between the strengthening of IC and a deeper insertion in GVCs applies only to a handful of countries and only in the software subsector. The specificity of this association raises questions for future research on innovation trajectories in GVCs. © 2021 The Author(s) 2021.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85121117466
"Houman Andersen P., Laursen L.N.","35271298800;57117479800;","Entrepreneurial strategies for MNCs: A typology",2021,"International Journal of Entrepreneurship and Innovation","22","3",,"191","202",,2,"10.1177/1465750320983156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097999139&doi=10.1177%2f1465750320983156&partnerID=40&md5=afdb0b925611794c2a6213f534eb1f87","This paper, responds to the recent calls in research, to address the theoretical underpinnings of entrepreneurial strategies in MNC’s. Today, a multiplicity of entrepreneurial approaches exists, cf. skunk work, bricolage, bootlegging. However, these exists in disparate literature, that provides limited oversight to managers in, that need to select between a manifold of different entrepreneurial strategies. Moreover, these approaches typically originate from a distinctively different organizational context, namely SMEs. Through a literature review we identify two important axiomatic assumptions concerning entrepreneurial strategies within the organizational conditions of MNCs. The first fundamental assumption concerns the organizational origin of such effort. The second theoretical assumption deals with how the entrepreneurial initiative can meet either organizational resistance or support. We synthesize these two dimensions into a two-by-two matrix, that provides an answer to our research question: what are the critical dimensions for entrepreneurial strategies in an MNC context? We then employ this typology to categorize predominant entrepreneurial strategies in current literature, to create a overview that can be used both for structuring the debate in the literature; as well as a basis to discuss important implicit assumptions, that should guide the selection of entrepreneurial strategy in a MNC context in practice. © The Author(s) 2020.",Article,"Final","",Scopus,2-s2.0-85097999139
"Struwe S., Slepniov D.","57222568491;35747422900;","Conflict by design and why institutions matter in service design: A case of a German Creative Agency in China",2021,"Journal of Business Research","130",,,"124","136",,2,"10.1016/j.jbusres.2021.03.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103303110&doi=10.1016%2fj.jbusres.2021.03.035&partnerID=40&md5=10f9e60137324185c25b662c815709e0","This paper set out to advance our understanding of how to improve service design and service provider–customer relationships in business-to-business (B2B) environments. Drawing on the theoretical lenses of service-dominant logic, service design and institutional theory, we investigate how and why the dark side manifests itself in B2B relationships between service co-creating actors in professional service settings. Additionally, we propose how these problems can be avoided. The study takes place in an international environment. It employs an in-depth single embedded case study of the relationship between a German creative agency and a German industrial client operating in China. Our work chronicles how their relationship developed over time, eventually resulting in a breakdown. The findings captured in the framework highlight an array of contributing factors. Propositions are made on how a more stable and robust agency–client relationship can be built and the dark side of B2B relationships defeated. © 2021 Elsevier Inc.",Article,"Final","",Scopus,2-s2.0-85103303110
"Lorenz E., Holm J.R.","7101681398;36237453800;","Work organisation, innovation and the quality of working life in Denmark",2021,"Globalisation, New and Emerging Technologies, and Sustainable Development: The Danish Innovation System in Transition",,,,"169","188",,2,"10.4324/9781003037750-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104810585&doi=10.4324%2f9781003037750-13&partnerID=40&md5=307233493b4ebae442faab731dcba891","This chapter focuses on organisational design and work organisation, and their impact on innovation performance and the quality of working life. It draws on two harmonised European surveys, one addressed to employers and the other addressed to employees. The analysis shows that adopting a ‘learning organisation’ design is associated with better innovation performance and that learning forms of work organisation are associated with more satisfied, less stressed workers. The chapter concludes by arguing that the Danish national innovation system would benefit from the introduction of policies designed to support the adoption of learning organisations. © Designs and Patents Act 1988.",Book Chapter,"Final","",Scopus,2-s2.0-85104810585
"Eriksen J., Holm J.R.","57214758829;36237453800;","Firm innovation and tertiary continuing education",2021,"Globalisation, New and Emerging Technologies, and Sustainable Development: The Danish Innovation System in Transition",,,,"208","228",,2,"10.4324/9781003037750-15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104699766&doi=10.4324%2f9781003037750-15&partnerID=40&md5=eef75048ea90c9a566095ff070160d19","In recent years tertiary level continuing education (CE) has received increased attention in Denmark. We investigate how firms’ use of tertiary CE impacts innovation outcomes. Tertiary CE is relevant for firms’ innovation outcomes both by bringing specialised human capital to the firm and by strengthening collaborations with universities that can aid in the innovation process. We use survey and administrative data to show that firms with employees who have participated in tertiary level CE have a higher likelihood of innovating than firms without. The study suggests that policy should attempt to make tertiary level programmes more accessible. © Designs and Patents Act 1988.",Book Chapter,"Final","All Open Access, Green",Scopus,2-s2.0-85104699766
"Öberg C.","18437498700;","Disruptive and paradoxical roles in the sharing economies",2021,"International Journal of Innovation Management","25","4","2150045","","",,2,"10.1142/S1363919621500456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094161551&doi=10.1142%2fS1363919621500456&partnerID=40&md5=f7f454c679abf9403adbcf639cf832fc","The sharing economy could be said to disrupt who does what in exchanges. This paper categorises the roles played by users, providers, and platforms in different interpretations of the sharing economy. It asks: What different roles do the users, providers, and platforms play in the sharing economy? And: How do the roles differ in various interpretations of the sharing economy? The paper classifies the different interpretations based on their market/non-market logic and concludes that roles are more extensive for users and providers in non-market logic interpretations, while market logic suggests that the platform acts more roles. The user is, despite the peer-to-peer connotation of the sharing economy, often quite passive. Contributions are made to the emerging literature on the sharing economy through highlighting its many different interpretations, where roles help to systematise these. The paper furthermore contributes to the literature on roles through highlighting them as transitory and expanding beyond expectations related to digitalisation. Practically, the systematisation of roles helps to navigate among various business model designs and makes informed decisions when launching platforms in the sharing economy. Additionally, the focus on roles raises important questions on risk sharing, resource provisions, and the creation of value for each participating party. © 2021 World Scientific Publishing Europe Ltd.",Article,"Final","",Scopus,2-s2.0-85094161551
"Zhang Y., Zhao H., Hu Y., Yao G.","57221997254;57116586300;56580618100;57221996067;","Smart community service brand functional value and sustainable brand relationship—the mediating role of customer emotional cognition",2021,"Sustainability (Switzerland)","13","4","1833","1","13",,2,"10.3390/su13041833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100893381&doi=10.3390%2fsu13041833&partnerID=40&md5=0b80b6a461144db171818e6c77872f0f","More and more companies are developing customer service by building Smart Community Service Brand Platforms (SCSBP). However, the impact of digital platform functions on sustainable brand relationships, and the mediating mechanism of customer’s emotional cognition are still unclear. The functional value of digital services in the property service industry focuses on three dimensions, including service efficiency, personalization, and social interaction. Regarding consumers’ emotional cognition aspect, we investigate value consistency and brand image. The empirical analysis findings suggest: (1) the functional value of smart community service has a significant positive impact on consumers’ emotional cognition and is positively related to the construction of sustainable brand relationships; (2) consumers’ emotional cognition of smart community service is positively related to the sustainable brand relationship; (3) consumers’ emotional cognition plays a complete mediating role between service efficiency and sustainable brand relationship, demonstrating a partial mediating role between personalization and social interaction aspects of functional value and sustainable brand relationship. This study contributes to the customer-based sustainable brand relationship theory in the digital service environment and provides a reference for companies to continuously improve the SCSBP and customer-based brand construction. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100893381
"Saabye H., Kristensen T.B., Wæhrens B.V.","57219656715;57213084303;22837185500;","Developing a learning-to-learn capability: insights on conditions for Industry 4.0 adoption",2021,"International Journal of Operations and Production Management","42","13",,"25","53",,2,"10.1108/IJOPM-07-2021-0428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125891556&doi=10.1108%2fIJOPM-07-2021-0428&partnerID=40&md5=5d4a3515b683327c0d1f37939b9dd4b8","Purpose: This paper investigates how manufacturers can develop a learning-to-learn capability for enabling Industry 4.0 adoption. Design/methodology/approach: This research design is guided by our research question: How can manufacturers develop a learning-to-learn capability that enables Industry 4.0 adoption? The authors adopt action research to generate actionable knowledge from a two-year-long action learning intervention at the Danish rooftop window manufacturer VELUX. Findings: Drawing on emergent insights from the action learning intervention, it was found that a learning-to-learn capability based on lean was a core construct and enabler for manufacturers to adopt Industry 4.0 successfully. Institutionalizing an organizational learning scaffold encompassing the intertwined learning processes of systems Alpha, Beta and Gamma served as a significant way to develop a learning-to-learn capability for Industry 4.0 adoption (systematic problem-solving abilities, leaders as learning facilitators, presence of a supportive learning environment and Industry 4.0 knowledge). Moreover, group coaching is a practical action learning intervention for invoking system Gamma and developing leaders to become learning facilitators – an essential leadership role during Industry 4.0 adoption. Originality/value: The study contributes to theory and practice by adopting action research and action learning to explore learning-to-learn as a core construct for enabling Industry 4.0 adoption and providing a set of conditions for developing a learning-to-learn capability. Furthermore, the study reveals that leaders are required to act as learning facilitators instead of relying on learning about and implementing Industry 4.0 best practices for enabling adoption. © 2021, Henrik Saabye, Thomas Borup Kristensen and Brian Vejrum Wæhrens.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85125891556
"Kuada J.","6505761119;","Financial inclusion and small enterprise growth in Africa: emerging perspectives and research agenda",2021,"African Journal of Economic and Management Studies",,,,"","",,2,"10.1108/AJEMS-05-2021-0230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120743748&doi=10.1108%2fAJEMS-05-2021-0230&partnerID=40&md5=8b2aa22783b393305d814e906d372e1e","Purpose: The purposes of the paper are to review the stream of studies that link financial inclusion to small enterprise growth in Sub-Sahara Africa (SSA) to identify the research gaps they provide and to prepare an agenda for future research in the field. Design/methodology/approach: The study employs systematic literature search method to identify relevant literature from journals. The study then adopts a narrative approach for the review, highlighting the findings from the prior studies and gaps requiring research attention. Findings: The discussions reveal that there is a need for future studies that can unpack small enterprise growth determinants, identify growth-enabling entrepreneurial characteristics and examine the contextual variabilities that shape their effectiveness. Originality/value: There is currently no comprehensive/integrated review exploring the link between financial inclusion and small enterprise growth in SSA. The review, therefore, provides insights that contribute to the development of this stream of research. © 2021, Emerald Publishing Limited.",Review,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85120743748
"Christensen J.L.","8677447900;","Venture capital in regional innovation and growth",2011,"Handbook of Regional Innovation and Growth",,,,"495","504",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881847409&partnerID=40&md5=7993c5ccf41c798d5e5857af198dae95",[No abstract available],Book Chapter,"Final","",Scopus,2-s2.0-84881847409
"Nazifi A., Roschk H., Villarroel Ordenes F., Marder B.","57204639792;35604545800;56233503500;55069712000;","Bad Intentions: Customers’ Negative Reactions to Intentional Failures and Mitigating Conditions",2022,"Journal of Travel Research","61","8",,"1808","1827",,1,"10.1177/00472875211044221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117161018&doi=10.1177%2f00472875211044221&partnerID=40&md5=f67f097f76b39d09d1bf73c53df22257","Intentional service failures (e.g., overbooking or overcharging) have received little scholarly attention, despite their regular occurrence and immense costs. Using a multi-method approach combining experimental and field data from online reviews, it was found that intentional (vs. unintentional) failures lead to greater negative word of mouth (nWOM) and patronage reduction. This research extends these findings by demonstrating that intentional failures are less harmful when the failure is reversible (vs. irreversible) and occurs at an employee (vs. firm) level. Further, while either psychological (e.g., apology) or monetary compensation is effective in mitigating the consequences of intentional failures at an employee level, a combined service recovery (psychological and monetary) is the best solution when the failure is at a firm level. Drawing on attribution theory, the article unveils the key role of trust (as opposed to justice) as the mechanism to explain the effects of intentionality on customers’ nWOM and patronage reduction. © The Author(s) 2021.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85117161018
"Zhang H., Hu Y., Shi X., Gao Y.","57169423400;56580618100;57202847716;57196280682;","When and how do innovation ecosystems outperform integrated organizations? On technological interdependencies and ecosystem performance",2022,"Industrial Management and Data Systems","122","9",,"2091","2120",,1,"10.1108/IMDS-11-2021-0720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135626284&doi=10.1108%2fIMDS-11-2021-0720&partnerID=40&md5=04f4f35f1e1d7b10c69185e00241ec6e","Purpose: Studies have documented the distinctive advantage of innovation ecosystems in integrating and recombining heterogeneous knowledge resources across firms' boundaries. However, hierarchical governance in the form of vertical integration is still preferred in many industries for organizing innovation, and the current literature touches little on the relative performance of different organizational structures (integrated firms vs innovation ecosystem) and the factors that lead firms to choose one over the other. The authors conjecture that structure of technological interdependence is one of such important factors. Using a computational experiment, the authors compare the innovation performance of ecosystems with integrated firms under different interdependency structures. Design/methodology/approach: Using the NKC model, the authors incorporate non-generic complementarities and modularity into the technological interdependence between different components. The authors compare four different types of technological interdependence (modular, hierarchical, nearly modular, and random). Findings: The results show that integrated firms with centralized search demonstrate stable and consistent performance that is robust to the structure of technological interdependencies, but an ecosystem significantly outperforms integrated firms with centralized or decentralized when the products exhibit modular or nearly-modular structures. Originality/value: This study sheds light on why an ecosystem often exhibits modular structures while vertical integration is prevalent in industries with complex technological interdependence. In addition, it shows the evolutionary nature of ecosystems and indicates how the cooperation and competition between actors shape the interdependence structure of ecosystems. © 2022, Emerald Publishing Limited.",Article,"Final","",Scopus,2-s2.0-85135626284
"Mohsin A.K.M., Hongzhen L., Masum Iqbal M., Salim Z.R., Hossain A., Al Kafy A.","57219869049;57217301248;57362804100;57219955621;57613646200;57345670600;","Forecasting e-waste recovery scale driven by seasonal data characteristics: A decomposition-ensemble approach",2022,"Waste Management and Research","40","7",,"870","881",,1,"10.1177/0734242X211061443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120625746&doi=10.1177%2f0734242X211061443&partnerID=40&md5=df02dd674457fd3be9784afcc3cf5ff1","Forecasting the scale of e-waste recycling is the basis for the government to formulate the development plan of circular economy and relevant subsidy policies and enterprises to evaluate resource recovery and optimise production capacity. In this article, the CH-X12 /STL-X framework for e-waste recycling scale prediction is proposed based on the idea of ‘decomposition-integration’, considering that the seasonal data characteristics of quarterly e-waste recycling scale data may lead to large forecasting errors and inconsistent forecasting results of a traditional single model. First, the seasonal data characteristics of the time series of e-waste recovery scale are identified based on Canova–Hansen (CH) test, and then the time series suitable for seasonal decomposition is extracted with X12 or seasonal-trend decomposition procedure based on loess (STL) model for seasonal components. Then, the Holt–Winters model was used to predict the seasonal component, and the support vector regression (SVR) model was used to predict the other components. Finally, the linear sum of the prediction results of each component is used to obtain the final prediction result. The empirical results show that the proposed CH-X12/STL-X forecasting framework can better meet the modelling requirements for time-series forecasting driven by different seasonal data characteristics and has better and more stable forecasting performance than traditional single models (Holt–Winters model, seasonal autoregressive integrated moving average model and SVR model). © The Author(s) 2021.",Article,"Final","",Scopus,2-s2.0-85120625746
"Sthapit E., Björk P., Coudounaris D.N., Stone M.J.","57193222394;36634092400;35271722300;57114193300;","A new conceptual framework for memorable Airbnb experiences: guests’ perspectives",2022,"International Journal of Culture, Tourism, and Hospitality Research","16","1",,"75","86",,1,"10.1108/IJCTHR-01-2021-0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110370208&doi=10.1108%2fIJCTHR-01-2021-0002&partnerID=40&md5=36af880195b58b7ca252fe5546ea548e","Purpose: This qualitative study aims to explore the activities that guests perform while staying in Airbnbs, emotions associated with these experiences and the components of memorable Airbnb experiences. Design/methodology/approach: An empirical study of a qualitative nature was conducted using a self-administered open-ended questionnaire among tourists who had stayed in an Airbnb in the past three years. Data were collected using two different sources for triangulation purposes, referred to as Studies 1 and 2. Findings: Many respondents reported conducting similar activities while at home and while staying in an Airbnb, supporting Burch’s (1969) spill-over theory. Travellers mostly recalled mundane activities, such as cooking. The results suggest that the spill-over effect is more prevalent in the Airbnb context than in other accommodation types, as one often travels from one’s own home to another’s home. Respondents associated their Airbnb experience with the positive emotion of joy. Respondents mentioned numerous reasons for having felt joy during their Airbnb experiences, such as sharing the trip with travel companions and spending time with friends. Practical implications: Airbnb should clearly define host’s tasks and responsibilities, hosts should treat guests in a friendly manner, which includes resolving any problems they face in relation to the rental property. Originality/value: This paper proposes a new conceptual framework for a memorable Airbnb experience, which comprises several components: socialising and bonding with friends and family members, location, the host’s hospitality, a homely feeling, home amenities and negative experiences (the poor condition of the room and a dishonest host). © 2021, Erose Sthapit, Peter Björk Dafnis N. Coudounaris and Matthew J. Stone.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85110370208
"Eftekhari N., Timmermans B.","55582766400;36700345600;","New venture dissolution and the comobility of new venture teams",2022,"Small Business Economics","59","1",,"279","298",,1,"10.1007/s11187-021-00543-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116267366&doi=10.1007%2fs11187-021-00543-z&partnerID=40&md5=5651dc43d6c42592d2bc6c2ad6524265","Abstract: While the dissolution of new ventures is a common phenomenon in the organizational landscape, it seldom means the end of the road for those involved in the new venture. Nevertheless, most research treats this dissolution with a sense of finality. Using the Danish Integrated Database for Labor Market Research (IDA), we explore the persistence of cofounders and early employees to continue their work relationships after the dissolution of the new venture. We investigate where these team members continue their career and whether they pursue entrepreneurship together in another new venture. Overall, over 18.3% move jointly, and comobility is more prevalent among new venture team members who worked jointly prior to founding the new venture and among those new venture teams demonstrating high levels of homogeneity. Moreover, comovers tend toward small firms, and comobility occurs largely in similar industry. A large share of comovers move to new ventures, which is indicative of serial or habitual new venture teams. This also raises further question on team-level dimension of learning from failure. © 2021, The Author(s).",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85116267366
"Kragh H., Ellegaard C., Andersen P.H.","26867928700;13403240500;35271298800;","Managing customer attractiveness: How low-leverage customers mobilize critical supplier resources",2022,"Journal of Purchasing and Supply Management","28","2","100742","","",,1,"10.1016/j.pursup.2021.100742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121097192&doi=10.1016%2fj.pursup.2021.100742&partnerID=40&md5=ea35795000d61c32ecfc6e2c07d3d419","Getting access to the specialized resources of suppliers for purposes of innovation can be difficult especially for customers that are small or in other ways represent a limited immediate potential in the eyes of suppliers. Such low-leverage customers must find other ways of making themselves attractive to coveted suppliers. In this paper, we study how customers with low leverage manage the process of mobilizing supplier resources critical for innovation. We present findings from a single case study of a buying firm and show how they use five elements to gradually become attractive in the eyes of a critical supplier: proactive technological competence, canvassing and continuous communication, supplier learning, market access, and relationship maintenance. The different elements play different roles during the process of mobilizing supplier resources. We show that mobilizing suppliers in the case of low-leverage customers is a long-term process in which a number of interrelated attractiveness elements are leveraged in a complex pattern. This process is highly resource-demanding and requires substantial dedication and effort from the customer organization. © 2021 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85121097192
"Holm J.R., Lorenz E.","36237453800;7101681398;","The impact of artificial intelligence on skills at work in Denmark",2022,"New Technology, Work and Employment","37","1",,"79","101",,1,"10.1111/ntwe.12215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114903014&doi=10.1111%2fntwe.12215&partnerID=40&md5=033d328fac6129888cb955f34533a1e4","Based on a unique dataset on the use of artificial intelligence (AI) among employees in Denmark, we investigate within-job relationships between AI use and skill requirements. We show that the effects of AI are varied and depend on whether AI is used for providing orders to humans or providing information for further human handling and in which occupation it is used. AI may enhance or augment skills through, for example, the increased use of high-performance work practices, or it may increase work pace constraints and reduce employee autonomy. The results imply that the diffusion of AI can increase inequalities in the labour market by augmenting skills used in high-skill jobs, although having relatively more adverse impacts on other jobs. We use additive noise modelling to establish the likely direction of causality in our results and find that the direction of causality is from AI use to skill requirements. © 2021 Brian Towers (BRITOW) and John Wiley & Sons Ltd.",Article,"Final","",Scopus,2-s2.0-85114903014
"Simoni L., Schaper S., Nielsen C.","57210565438;6603965482;13005497400;","Business Model Disclosures, Market Values, and Earnings Persistence: Evidence From the UK",2022,"Abacus","58","1",,"142","173",,1,"10.1111/abac.12233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110760065&doi=10.1111%2fabac.12233&partnerID=40&md5=1a545553d46c1199e3fe9f9c7ddd0e34","This paper investigates the consequences of business model (BM) disclosures. Content analysis is used to assess the mandatory disclosure of BM in in 75 publicly listed companies' annual reports across a three-year period (2014–2016). The research applies a novel content analysis methodology that considers the way in which the relevance of BM disclosures is dependent on which particular BM a given company adopts. The empirical results show notably low levels of BM disclosure and no significant association between BM disclosures and market value. However, we find that BM disclosure provides insights into earnings quality by means of enhanced earnings persistence. These findings reveal that information about the BM itself does not make a difference to investors when it is not linked to financial outcomes. Instead, BM acts as a framework for organizing other disclosures, and provides complementary information about value generation, helping users understand how earnings are generated. These results are important for informing the policy-making process around extra-financial disclosures (e.g., EU Directive 2014/95/EU) and answer calls for research to inform future improvements to corporate and integrated reporting. © 2021 Accounting Foundation, The University of Sydney.",Article,"Final","",Scopus,2-s2.0-85110760065
"Gjerløv-Juel P., Dahl M.S.","55824908000;7202205047;","High-performer mobility to entrepreneurship and parent-firm performance",2022,"Strategic Entrepreneurship Journal","16","1",,"129","154",,1,"10.1002/sej.1403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108366764&doi=10.1002%2fsej.1403&partnerID=40&md5=fe5bf12dd11eefc6d5368c1242c10463","Research Summary: We investigate the effect of high-performer employee mobility to same-industry startups on parent-firm performance. High-performer mobility induces a loss of human assets but might also enable competition by transferring human and complementary assets from the parent firm to a competitor. Only when such transfer occurs is mobility to same-industry startups more harmful than other types of high-performer mobility. Human and complementary asset transfer is conditional on the departing high performer's ability to accumulate (and hence transfer) knowledge from the parent firm and the recipient firm's ability to absorb such knowledge. In support of this hypothesis, we show that the high performer's tenure and the startup's resources (size) moderate the performance effect of high-performer mobility on same-industry startups. Managerial Summary: Industry experience is critical for new venture performance, and spinoff entrepreneurs (former employees from the same industry) perform better than other start-ups. However, studies have found that high performers' mobility to spinoffs harms the performance of their former employers. This paper asks when do spinoffs result in increasing competition and when is spinoff entrepreneurship more harmful compared to other types of high performer mobility? We show that additional detrimental performance effects on former employers depend on employee tenure and the spinoffs' start-up size. We argue that longer tenure increases competition because it allows the employee to form and strengthen personal relations, for example, to customers, and to accumulate more knowledge on products and processes. Start-up size is important for the recreation and appropriation of this knowledge. © 2021 Strategic Management Society.",Article,"Final","",Scopus,2-s2.0-85108366764
"Nogueira L.A., Kringelum L.B., Olsen J., Jørgensen F.A., Vangelsten B.V.","56926290200;57204126464;56381903600;55762158400;56025930100;","What would it take to establish a take-back scheme for fishing gear? Insights from a comparative analysis of fishing gear and beverage containers",2022,"Journal of Industrial Ecology",,,,"","",,1,"10.1111/jiec.13296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135194397&doi=10.1111%2fjiec.13296&partnerID=40&md5=0cf34c1e38de9334e0ccd4d77c515a58","The problem of marine litter represents a significant global challenge and illustrates the harmful consequences of an economic model that is based on disposability. The seafood sector is not only among the culprits, but is also among the most affected by this threat to the marine environment. Earlier research has pointed to fishing gear take-back schemes as a measure to mitigate the problem, and policymakers have embraced the idea. The Norwegian scheme for beverage containers has been hailed as a benchmark for the application of Extended Producer Responsibility. Through the lens of business ecosystems, we draw parallels between the existing take-back scheme for beverage containers and the latent system for fishing gear to answer the question: “What would it take to establish a take-back scheme for fishing gear?” We elaborate upon four factors that are well established for beverage container take-back schemes, but lacking or unclear in the case of fishing gear: (i) politico-institutional support, (ii) the system's value proposition, (iii) the system integrator, and (iv) operational factors (i.e., a network of collection points and procedures, and material variety and complexity). Our findings highlight that when innovations are not based on the usual market mechanisms, unconventional conceptualizations of value itself and how value is mapped and distributed are required. Meaningful engagement of the private sector depends upon either explicit articulation of value capture or policy instruments to enforce responsibility; both are currently either unclear or lacking in the context of fishing gear. © 2022 The Authors. Journal of Industrial Ecology published by Wiley Periodicals LLC on behalf of the International Society for Industrial Ecology.",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85135194397
